Num,Cardno,Pentad,QDGC,NoSurveys,Start_Date,End_Date,ObserverNo,Total_Spp,Intensive_hours,Total_hours,Spp_On_Card,centre_longitude,centre_latitude,GDD0,GDD5,MTCO,MTWA,AET_div_PET,Wet_Intensity,Dry_Intensity,SV,G,AZ,NK,LWP_HA,VegTypePC,QDS_PC,log.intensive,year,year.F,log.total.hours,day.std
1,2725_2310_001555_20100425,2725_2310,2723AC,1,2010/04/25,2010/04/25,1555,23,2,2,0,23.125,-27.375,6802.8,4977.8,10.7,25.4,0.271,0,-92,1,0,0,0,30064.16,4.04,43.81,0.693147181,2010,2,0.693147181,-0.690443218
2,2730_2310_010101_20130923,2730_2310,2723CA,1,2013/09/23,2013/09/23,10101,26,2,2,0,23.125,-27.625,6747.6,4922.6,10.7,25.2,0.278,0,-89.6,1,0,0,0,44297.11,5.95,64.7,0.693147181,2013,5,0.693147181,0.687441129
3,2725_2315_011963_20111002,2725_2315,2723AD,1,2011/10/02,2011/10/02,11963,31,3,12,0,23.375,-27.375,6437.9,4612.9,9.8,24.4,0.328,7.1,-79.5,1,0,0,0,8.83,0,0.01,1.098612289,2011,3,2.48490665,0.771231393
4,2730_2315_000355_20131027,2730_2315,2723CB,17,2013/10/27,2013/10/27,355,42,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2013,5,0.693147181,1.003982128
5,2730_2315_001371_20120829,2730_2315,2723CB,17,2012/08/29,2012/08/29,1371,19,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2012,4,0.693147181,0.464000424
6,2730_2315_001371_20131126,2730_2315,2723CB,17,2013/11/26,2013/11/26,1371,32,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2013,5,0.693147181,1.27397298
7,2730_2315_001651_20110530,2730_2315,2723CB,17,2011/05/30,2011/05/30,1651,42,2,3,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2011,3,1.098612289,-0.36459219
8,2730_2315_001651_20110610,2730_2315,2723CB,17,2011/06/10,2011/06/10,1651,36,3,4,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,1.098612289,2011,3,1.386294361,-0.271491896
9,2730_2315_001672_20120416,2730_2315,2723CB,17,2012/04/16,2012/04/17,1672,22,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2012,4,0.693147181,-0.774233483
10,2730_2315_010248_20101015,2730_2315,2723CB,17,2010/10/15,2010/10/16,10248,12,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2010,2,0.693147181,0.892261775
11,2730_2315_010357_20111005,2730_2315,2723CB,17,2011/10/05,2011/10/05,10357,34,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2011,3,0.693147181,0.799161481
12,2730_2315_010377_20091227,2730_2315,2723CB,17,2009/12/27,2009/12/27,10377,36,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2009,1,0.693147181,1.56258389
13,2730_2315_010651_20121013,2730_2315,2723CB,17,2012/10/13,2012/10/13,10651,36,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2012,4,0.693147181,0.873641716
